Appliance,Flow,Time,Sample
StandardToilet,0.0563544444444444,0,1
StandardToilet,1.18512555555556,10,1
StandardToilet,1.70325,20,1
StandardToilet,1.70577333333333,30,1
StandardToilet,1.73052426470588,40,1
StandardToilet,1.41039490196078,50,1
StandardToilet,2.02842602941177,0,2
StandardToilet,2.03480857843137,10,2
StandardToilet,1.72144971033868,20,2
StandardToilet,1.81238416666667,0,3
StandardToilet,1.97703166666667,10,3
StandardToilet,1.02825833333333,20,3
StandardToilet,1.67044666666667,0,4
StandardToilet,1.64016666666667,10,4
StandardToilet,1.44370714285714,20,4
StandardToilet,0.323887857142855,30,4
StandardToilet,1.10080416666667,0,5
StandardToilet,1.36500317460317,10,5
StandardToilet,1.83963015873016,20,5
StandardToilet,2.100675,30,5
StandardToilet,2.07418,40,5
StandardToilet,1.47930416666667,0,6
StandardToilet,2.07544166666667,10,6
StandardToilet,2.07544166666667,20,6
StandardToilet,2.07544166666667,30,6
StandardToilet,2.07544166666667,40,6
StandardToilet,1.979555,50,6
StandardToilet,1.59600833333334,60,6
StandardToilet,0.346958333333333,0,7
StandardToilet,0.909030833333334,10,7
StandardToilet,2.22053333333333,20,7
StandardToilet,2.19782333333333,30,7
StandardToilet,0.9481425,40,7
StandardToilet,0.403733333333333,0,8
StandardToilet,0.92354,10,8
StandardToilet,1.70325,20,8
StandardToilet,1.70325,30,8
StandardToilet,1.70325,40,8
StandardToilet,1.532925,50,8
StandardToilet,1.570775,0,9
StandardToilet,1.67170833333333,10,9
StandardToilet,1.67170833333333,20,9
StandardToilet,1.631335,30,9
StandardToilet,0.81756,0,10
StandardToilet,1.70325,10,10
StandardToilet,1.70325,20,10
StandardToilet,1.70325,30,10
StandardToilet,1.70325,40,10
StandardToilet,1.532925,50,10
StandardToilet,0.649758333333333,0,11
StandardToilet,1.26860583333333,10,11
StandardToilet,1.48876666666667,20,11
StandardToilet,1.52661666666667,30,11
StandardToilet,1.52661666666667,40,11
StandardToilet,1.52661666666667,50,11
StandardToilet,1.30708666666667,60,11
StandardToilet,0.407518333333341,70,11
StandardToilet,0.921016666666666,0,12
StandardToilet,1.35818416666667,10,12
StandardToilet,1.502645,20,12
StandardToilet,1.532925,30,12
StandardToilet,1.55815833333333,40,12
StandardToilet,1.46466883333333,50,12
StandardToilet,1.48245833333333,0,13
StandardToilet,1.56415125,10,13
StandardToilet,1.72154416666667,20,13
